City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,charters towers,-20.1,146.2667,24.6,81,82,3.31,AU,1680890420
84,yar-sale,66.8333,70.8333,-3.96,87,100,9.9,RU,1680890421
85,thunder bay,48.4001,-89.3168,-1.15,84,98,1.39,CA,1680890421
86,mar del plata,-38.0023,-57.5575,24.9,82,18,4.92,AR,1680890422
87,carnarvon,-24.8667,113.6333,21.52,58,0,5.7,AU,1680890423
88,tiksi,71.6872,128.8694,-24.96,100,91,1.8,RU,1680890423
89,bethel,41.3712,-73.414,13.63,27,78,1.79,US,1680890424
90,faanui,-16.4833,-151.75,28.64,76,89,9.03,PF,1680890424
91,chernyshevskiy,63.0128,112.4714,-29.69,99,48,1.89,RU,1680890425
92,pevek,69.7008,170.3133,-31.4,98,77,1.72,RU,1680890425
93,hami,42.8,93.45,11.65,11,82,1.68,CN,1680890384
94,tuatapere,-46.1333,167.6833,5.25,91,18,2.26,NZ,1680890426
95,deputatskiy,69.3,139.9,-28.66,100,100,0.83,RU,1680890427
96,souillac,-20.5167,57.5167,25.42,81,46,2.9,MU,1680890427
97,puerto ayora,-0.7393,-90.3518,28.64,87,86,3.13,EC,1680890428
98,fare,-16.7,-151.0167,28.21,78,95,7.78,PF,1680890428
99,balabac,7.9868,117.0645,26.82,76,6,4.4,PH,1680890429
100,jeremie,18.65,-74.1167,26.4,65,24,2.51,HT,1680890430
101,constitucion,-35.3333,-72.4167,21.08,45,87,6.11,CL,1680890430
102,namatanai,-3.6667,152.4333,25.42,86,96,1.02,PG,1680890431
103,kruisfontein,-34.0033,24.7314,16.6,87,5,4.83,ZA,1680890432
104,castro,-24.7911,-50.0119,20.75,81,94,1.51,BR,1680890432
105,roma,43.2128,-75.4557,5.96,47,0,8.75,US,1680890433
106,provideniya,64.3833,-173.3,-25.73,96,77,1.82,RU,1680890433
107,geraldton,-28.7667,114.6,16.23,72,40,4.12,AU,1680890434
108,okhotsk,59.3833,143.3,-17.61,86,100,3.69,RU,1680890435
109,burla,21.5,83.8667,27.79,33,37,1.51,IN,1680890435
110,georgetown,5.4112,100.3354,28.96,83,20,3.6,MY,1680890320
111,itaituba,-4.2761,-55.9836,27.32,83,98,1.3,BR,1680890436
112,kirakira,-10.4544,161.9205,26.21,83,49,1.1,SB,1680890436
113,amahai,-3.3333,128.9167,25.31,85,93,1.76,ID,1680890437
114,jamestown,42.097,-79.2353,6.96,52,91,1.79,US,1680890437
115,kedrovyy,56.1667,91.8167,-7.77,79,100,3.97,RU,1680890438
116,kemin,42.7846,75.6892,5.92,95,100,1.41,KG,1680890438
117,bani walid,31.7566,13.9942,13.33,67,100,8.17,LY,1680890439
118,boyuibe,-20.4167,-63.2833,26.13,46,59,3.34,BO,1680890439
119,tilichiki,60.4667,166.1,-21.13,100,35,1.47,RU,1680890440
120,port keats,-14.25,129.55,25.95,84,100,1.77,AU,1680890440
121,oranjemund,-28.55,16.4333,16.08,85,3,4.6,NA,1680890413
122,klamath falls,42.2249,-121.7817,9.92,65,94,2.24,US,1680890441
123,rawson,-43.3002,-65.1023,14.55,43,100,4.84,AR,1680890442
124,pasni,25.2631,63.471,24.41,73,0,2.88,PK,1680890442
125,tazovskiy,67.4667,78.7,-9.48,96,100,2.12,RU,1680890443
126,kapaa,22.0752,-159.319,22.88,88,91,0.89,US,1680890443
127,fallon,39.4735,-118.7774,11.73,40,100,1.34,US,1680890444
128,harper,4.375,-7.7169,28.07,77,95,3.11,LR,1680890444
129,hasaki,35.7333,140.8333,19.22,92,100,14.68,JP,1680890211
130,lorengau,-2.0226,147.2712,25.7,88,100,4.11,PG,1680890446
131,ino,33.55,133.4333,9.23,83,4,2.77,JP,1680890447
132,copiapo,-27.3667,-70.3333,29.12,30,0,4.04,CL,1680890447
133,bonavista,48.6499,-53.1147,1.89,92,100,5.34,CA,1680890448
134,volchikha,52.0333,80.3833,-1.56,82,100,7.06,RU,1680890448
135,san jose de guanipa,8.8872,-64.1651,34.37,26,90,6.18,VE,1680890449
136,cidreira,-30.1811,-50.2056,20.56,79,100,3.38,BR,1680890449
137,longyearbyen,78.2186,15.6401,-8.09,79,75,8.75,SJ,1680890450
138,adrar,20.5022,-10.0711,30.14,10,80,2.37,MR,1680890450
139,beringovskiy,63.05,179.3167,-19.78,99,100,2.19,RU,1680890451
140,yellowknife,62.456,-114.3525,0.59,98,99,6.8,CA,1680890452
141,chapais,49.7834,-74.8492,-8.12,78,100,7.46,CA,1680890452
142,hermanus,-34.4187,19.2345,14.33,79,100,3.04,ZA,1680890453
143,gniezno,52.5348,17.5826,8.17,96,100,1.12,PL,1680890453
144,satun,6.8333,100.0,25.0,91,10,1.37,TH,1680890396
145,bima,-8.4667,118.7167,23.9,95,100,1.34,ID,1680890454
146,kahului,20.8947,-156.47,24.36,79,58,4.92,US,1680890455
147,hithadhoo,-0.6,73.0833,28.1,64,12,1.13,MV,1680890455
148,bintulu,3.1667,113.0333,23.03,90,79,1.56,MY,1680890455
149,tuktoyaktuk,69.4541,-133.0374,-11.73,96,100,7.4,CA,1680890456
150,buala,-8.145,159.5921,25.87,84,86,0.94,SB,1680890456
151,lagoa,39.05,-27.9833,12.21,65,17,6.49,PT,1680890457
152,puyo,-1.4667,-77.9833,22.94,87,95,1.18,EC,1680890458
153,port elizabeth,-33.918,25.5701,18.51,79,14,1.79,ZA,1680890411
154,port lincoln,-34.7333,135.8667,16.82,77,89,7.53,AU,1680890459
155,luderitz,-26.6481,15.1594,16.92,76,0,7.49,NA,1680890419
156,kumluca,36.3703,30.2869,14.31,62,14,2.7,TR,1680890460
157,champerico,14.3,-91.9167,30.45,60,6,5.1,GT,1680890461
158,cherskiy,68.75,161.3,-26.42,100,100,1.9,RU,1680890461
159,victoria,22.2855,114.1577,22.33,82,82,5.71,HK,1680890443
160,rocha,-34.4833,-54.3333,22.97,50,99,3.97,UY,1680890464
161,kalmunai,7.4167,81.8167,26.6,69,34,2.15,LK,1680890464
162,batticaloa,7.7102,81.6924,26.99,68,32,3.0,LK,1680890465
163,barrow,71.2906,-156.7887,-20.99,71,100,3.09,US,1680890465
